,Date,DFF,Inflation_Rate, Open_Dow, High_Dow, Low_Dow, Close_Dow,Average_Dow, Open_Nasdaq, High_Nasdaq, Low_Nasdaq, Close_Nasdaq,Average_Nasdaq, Open_S&P, High_S&P, Low_S&P, Close_S&P,Average_S&P
80,4/23/08,2.18,2.33,13809.48,13925.97,13773.24,13849.5,13829.49,2393.04,2412.53,2382.77,2405.21,2399.125,1379.71,1387.87,1372.24,1379.93,1379.8200000000002
81,4/24/08,2.26,2.31,13849.51,14023.6,13749.5,13941.56,13895.535,2409.55,2447.28,2383.76,2428.92,2419.235,1382.14,1397.72,1371.09,1388.82,1385.48
82,4/25/08,2.28,2.31,13941.56,14054.91,13856.61,14039.19,13990.375,2424.81,2427.09,2391.15,2422.93,2423.87,1395.18,1399.11,1379.98,1397.84,1396.51
83,4/28/08,2.29,2.3,14039.19,14097.49,13999.22,14035.97,14037.58,2422.76,2437.0,2416.9,2424.4,2423.58,1398.44,1402.9,1394.4,1396.37,1397.405
84,4/29/08,2.21,2.29,14035.97,14035.99,13932.27,13975.02,14005.494999999999,2417.57,2435.38,2412.1,2426.1,2421.835,1393.18,1397.0,1386.7,1390.94,1392.06
85,4/30/08,2.37,2.27,13975.02,14118.5,13911.37,13930.84,13952.93,2433.33,2451.19,2406.37,2412.8,2423.065,1393.89,1404.57,1384.25,1385.59,1389.74
86,5/1/08,2.16,2.26,13930.84,14162.98,13902.5,14158.03,14044.435000000001,2416.4,2480.71,2416.49,2480.71,2448.5550000000003,1384.23,1410.07,1383.07,1409.34,1396.7849999999999
87,5/2/08,1.88,2.36,14158.11,14291.26,14124.44,14193.94,14176.025000000001,2497.17,2499.14,2461.46,2476.99,2487.08,1409.16,1422.72,1406.25,1413.9,1411.5300000000002
88,5/5/08,1.85,2.35,14193.93,14215.88,14106.83,14141.34,14167.635,2475.11,2486.05,2458.12,2464.12,2469.615,1410.83,1415.7,1404.37,1407.49,1409.1599999999999
89,5/6/08,1.91,2.38,14141.31,14282.28,14044.6,14250.92,14196.115,2453.38,2488.83,2445.37,2483.31,2468.3450000000003,1401.49,1421.57,1397.1,1418.26,1409.875
90,5/7/08,2.01,2.36,14250.92,14273.59,13992.92,14007.8,14129.36,2483.67,2496.65,2435.76,2438.49,2461.08,1417.53,1419.54,1391.16,1392.57,1405.05
91,5/8/08,1.99,2.36,14007.8,14104.04,13979.09,14064.9,14036.349999999999,2450.61,2462.51,2436.61,2451.24,2450.925,1397.75,1402.35,1389.39,1397.68,1397.7150000000001
92,5/9/08,1.97,2.38,14064.87,14064.87,13939.22,13985.25,14025.060000000001,2430.32,2455.33,2429.03,2445.52,2437.92,1385.11,1394.9,1384.11,1388.28,1386.695
93,5/12/08,1.88,2.37,13985.25,14140.59,13957.72,14137.51,14061.380000000001,2451.36,2490.22,2446.36,2488.49,2469.925,1390.4,1404.06,1386.2,1403.58,1396.99
94,5/13/08,1.93,2.39,14137.5,14177.82,14068.29,14150.8,14144.15,2492.22,2498.07,2472.58,2495.12,2493.67,1407.07,1406.3,1396.26,1403.04,1405.0549999999998
95,5/14/08,2.03,2.43,14150.8,14320.56,14150.3,14198.63,14174.715,2505.79,2528.4,2493.58,2496.7,2501.245,1409.45,1420.19,1405.65,1408.66,1409.055
96,5/15/08,2.03,2.43,14198.63,14354.86,14183.75,14347.63,14273.13,2497.29,2535.19,2492.95,2533.73,2515.51,1408.36,1424.4,1406.87,1423.57,1415.965
97,5/16/08,1.91,2.44,14347.63,14375.72,14253.11,14370.44,14359.035,2543.65,2537.41,2504.18,2528.85,2536.25,1425.7,1425.82,1414.35,1425.35,1425.525
98,5/19/08,1.95,2.47,14370.47,14513.97,14322.7,14373.26,14371.865,2531.57,2551.47,2505.6,2516.09,2523.83,1425.74,1440.24,1421.63,1426.63,1426.185
99,5/20/08,1.99,2.47,14373.2,14373.2,14206.73,14259.37,14316.285,2501.3,2506.19,2479.37,2492.26,2496.78,1419.93,1424.49,1409.09,1413.4,1416.665
100,5/21/08,2.03,2.51,14259.37,14322.82,14017.63,14036.89,14148.130000000001,2494.75,2508.9,2444.99,2448.27,2471.51,1416.16,1419.12,1388.81,1390.71,1403.435
101,5/22/08,2.05,2.51,14036.89,14125.68,14035.42,14078.13,14057.509999999998,2453.18,2474.53,2448.84,2464.58,2458.88,1390.83,1399.07,1390.23,1394.35,1392.59
102,5/23/08,1.99,2.49,14078.59,14079.94,13871.4,13903.41,13991.0,2455.62,2456.0,2430.36,2444.67,2450.145,1389.24,1392.2,1373.72,1375.93,1382.585
104,5/27/08,2.23,2.47,13903.42,14019.88,13878.64,14005.84,13954.630000000001,2447.81,2482.08,2448.58,2481.24,2464.5249999999996,1374.98,1387.4,1373.07,1385.35,1380.165
105,5/28/08,2.08,2.45,14005.84,14077.92,13942.9,14073.49,14039.665,2492.64,2493.38,2465.59,2486.7,2489.67,1388.38,1391.25,1378.16,1390.84,1389.6100000000001
106,5/29/08,2.01,2.46,14073.5,14231.63,14052.44,14153.48,14113.49,2486.13,2522.14,2485.92,2508.32,2497.2250000000004,1387.5,1406.32,1388.59,1398.26,1392.88
107,5/30/08,1.98,2.48,14153.48,14224.66,14153.45,14193.69,14173.585,2517.86,2530.16,2510.65,2522.66,2520.26,1401.86,1404.46,1398.08,1400.38,1401.12
108,6/2/08,2.06,2.47,14193.68,14193.68,13969.94,14055.61,14124.645,2516.12,2516.37,2471.41,2491.53,2503.825,1395.74,1399.62,1377.79,1385.67,1390.705
109,6/3/08,1.95,2.41,14055.62,14139.11,13904.07,13989.67,14022.645,2501.86,2513.89,2460.56,2480.48,2491.17,1389.88,1393.12,1370.12,1377.65,1383.765
110,6/4/08,1.98,2.39,13989.67,14099.6,13935.1,13990.38,13990.025,2470.37,2518.71,2471.52,2503.14,2486.755,1373.97,1388.18,1371.74,1377.2,1375.585
111,6/5/08,1.98,2.43,13990.38,14268.69,13990.38,14268.65,14129.515,2509.59,2549.94,2504.57,2549.94,2529.7650000000003,1382.33,1404.05,1377.48,1404.05,1393.19
112,6/6/08,2.01,2.47,14268.65,14268.66,13845.46,13851.35,14060.0,2529.38,2529.97,2474.56,2474.56,2501.9700000000003,1419.93,1400.06,1359.9,1360.68,1390.305
113,6/9/08,2.02,2.48,13851.35,13940.16,13734.39,13845.8,13848.575,2482.7,2485.0,2429.3,2459.46,2471.08,1366.18,1370.63,1350.62,1361.76,1363.97
114,6/10/08,1.96,2.49,13845.8,13879.09,13738.24,13799.06,13822.43,2434.13,2466.28,2432.47,2448.94,2441.535,1351.93,1366.84,1351.56,1358.44,1355.185
115,6/11/08,1.95,2.48,13799.04,13799.05,13568.14,13568.51,13683.775000000001,2443.64,2446.28,2394.01,2394.01,2418.825,1355.25,1357.09,1335.47,1335.49,1345.37
116,6/12/08,2.01,2.5,13568.51,13741.47,13525.66,13605.48,13586.994999999999,2412.93,2432.88,2388.49,2404.35,2408.64,1342.56,1353.03,1331.29,1339.87,1341.215
117,6/13/08,2.02,2.5,13605.48,13813.23,13605.48,13813.22,13709.349999999999,2423.72,2454.5,2417.01,2454.5,2439.1099999999997,1347.73,1360.03,1341.71,1360.03,1353.88
118,6/16/08,2.06,2.49,13813.21,13875.55,13741.46,13838.81,13826.009999999998,2442.7,2479.95,2441.24,2474.78,2458.74,1351.74,1364.7,1352.07,1360.14,1355.94
119,6/17/08,1.87,2.48,13838.81,13901.49,13755.38,13761.79,13800.3,2481.51,2483.19,2456.78,2457.73,2469.62,1365.56,1366.59,1350.54,1350.93,1358.245
120,6/18/08,1.84,2.48,13761.78,13761.79,13579.99,13632.3,13697.04,2444.53,2449.18,2422.96,2429.71,2437.12,1341.49,1349.59,1333.4,1337.81,1339.65
121,6/19/08,1.94,2.47,13632.3,13723.37,13559.05,13683.78,13658.04,2424.47,2469.15,2412.37,2462.06,2443.265,1336.69,1347.66,1330.5,1342.83,1339.76
122,6/20/08,1.99,2.44,13683.75,13683.75,13398.84,13439.99,13561.869999999999,2447.12,2441.96,2394.26,2406.09,2426.605,1339.28,1341.02,1314.46,1317.93,1328.605
123,6/23/08,1.98,2.44,13439.99,13500.33,13404.49,13425.64,13432.814999999999,2415.98,2419.69,2384.56,2385.74,2400.8599999999997,1322.35,1323.78,1315.31,1318.0,1320.175
124,6/24/08,1.93,2.46,13425.65,13479.08,13272.24,13357.82,13391.735,2373.92,2394.86,2352.1,2368.28,2371.1000000000004,1311.62,1326.02,1304.42,1314.29,1312.955
125,6/25/08,1.97,2.47,13357.82,13570.59,13357.82,13442.11,13399.965,2378.12,2421.25,2376.29,2401.26,2389.69,1319.24,1335.63,1314.54,1321.97,1320.605
126,6/26/08,2.05,2.52,13442.1,13442.1,13062.21,13062.23,13252.165,2364.09,2366.16,2321.37,2321.37,2342.73,1307.49,1316.29,1283.15,1283.15,1295.3200000000002
127,6/27/08,1.99,2.51,13062.23,13124.07,12951.65,13019.87,13041.05,2315.69,2329.94,2290.59,2315.63,2315.66,1284.44,1289.45,1272.0,1278.38,1281.41
128,6/30/08,2.47,2.51,13019.87,13125.36,12980.55,13016.38,13018.125,2311.99,2325.49,2292.98,2292.98,2302.4849999999997,1280.33,1290.31,1274.86,1280.0,1280.165
129,7/1/08,2.11,2.52,13016.38,13057.66,12811.44,13055.26,13035.82,2270.26,2306.91,2255.79,2304.97,2287.615,1266.79,1285.31,1260.68,1284.91,1275.85
130,7/2/08,1.95,2.56,13055.29,13120.24,12790.88,12791.88,12923.585,2313.77,2317.2,2251.3,2251.46,2282.615,1290.11,1292.17,1261.51,1261.52,1275.815
131,7/3/08,1.92,2.57,12791.89,12862.71,12661.08,12769.72,12780.805,2257.83,2262.96,2227.8,2245.38,2251.605,1269.93,1271.48,1252.01,1262.9,1266.415
133,7/7/08,1.99,2.52,12769.72,12879.72,12541.82,12657.65,12713.685,2258.52,2276.54,2214.16,2243.32,2250.92,1265.67,1273.95,1240.68,1252.31,1258.99
134,7/8/08,1.97,2.46,12657.65,12891.24,12544.67,12886.93,12772.29,2242.21,2294.44,2233.99,2294.44,2268.325,1250.67,1274.17,1242.84,1273.7,1262.185
135,7/9/08,1.99,2.46,12886.94,12935.32,12603.39,12607.92,12747.43,2289.77,2296.03,2234.59,2234.89,2262.33,1274.69,1277.36,1244.69,1244.69,1259.69
136,7/10/08,2.01,2.43,12607.92,12745.58,12531.48,12699.16,12653.54,2237.22,2267.67,2223.04,2257.85,2247.535,1245.71,1257.65,1236.76,1253.39,1249.5500000000002
137,7/11/08,1.97,2.48,12699.16,12748.04,12425.92,12585.53,12642.345000000001,2229.56,2265.86,2203.25,2239.08,2234.3199999999997,1238.55,1257.27,1225.35,1239.49,1239.02
138,7/14/08,2.06,2.47,12585.55,12726.37,12432.68,12470.12,12527.835,2263.96,2266.44,2207.0,2212.87,2238.415,1253.5,1253.5,1225.01,1228.3,1240.9
139,7/15/08,2.16,2.47,12470.12,12535.08,12176.28,12341.06,12405.59,2194.81,2249.12,2167.29,2215.71,2205.26,1215.52,1234.35,1200.44,1214.91,1215.2150000000001
140,7/16/08,1.95,2.49,12341.14,12649.17,12297.69,12649.17,12495.154999999999,2218.72,2284.85,2205.71,2284.85,2251.785,1214.5,1245.52,1211.39,1245.36,1229.9299999999998
141,7/17/08,2.03,2.47,12649.18,12806.43,12608.56,12792.93,12721.055,2296.9,2320.77,2274.27,2312.3,2304.6000000000004,1251.39,1262.31,1241.49,1260.32,1255.855
142,7/18/08,1.96,2.46,12792.93,12813.16,12706.39,12790.72,12791.825,2289.33,2293.18,2269.55,2282.78,2286.0550000000003,1262.23,1262.23,1251.81,1260.68,1261.455
143,7/21/08,1.98,2.43,12790.72,12866.79,12762.67,12813.15,12801.935,2290.44,2300.32,2270.28,2279.53,2284.985,1264.67,1267.74,1255.7,1260.0,1262.335
144,7/22/08,1.97,2.43,12813.12,12988.0,12696.99,12985.09,12899.105,2257.22,2303.96,2252.84,2303.96,2280.59,1251.45,1277.42,1248.83,1277.0,1264.225
145,7/23/08,2.04,2.36,12985.05,13122.85,12969.95,13025.88,13005.465,2307.77,2350.09,2300.2,2325.88,2316.825,1280.28,1291.17,1276.06,1282.19,1281.2350000000001
146,7/24/08,2.06,2.34,13025.88,13039.15,12700.97,12714.55,12870.215,2326.74,2329.21,2278.91,2280.11,2303.425,1282.95,1283.22,1251.48,1252.54,1267.745
147,7/25/08,2.13,2.34,12714.56,12831.88,12714.56,12779.97,12747.265,2297.0,2312.6,2282.63,2310.53,2303.7650000000003,1259.73,1263.33,1251.75,1257.76,1258.745
148,7/28/08,2.0,2.36,12780.01,12802.62,12552.54,12556.07,12668.04,2307.52,2317.75,2258.62,2264.22,2285.87,1254.67,1260.09,1234.37,1234.37,1244.52
149,7/29/08,2.05,2.33,12556.07,12841.82,12556.07,12841.81,12698.939999999999,2274.45,2320.18,2274.37,2319.62,2297.035,1240.1,1263.2,1236.38,1263.2,1251.65
150,7/30/08,2.03,2.36,12841.81,13044.73,12841.72,13044.66,12943.235,2328.57,2342.88,2299.98,2329.72,2329.145,1269.56,1284.33,1264.52,1284.26,1276.9099999999999
